popularity_rank,domain,Populated,Number_of_accessibility_errors_detected,WCAG_2_A/AA_failure_detected,Number_of_page_elements,Error_density_Percentage,Top_error_types_detected
120,epicgames.com,Yes,5,2,26,19.23,region; empty-heading; html-has-lang; meta-refresh
121,mailinabox.email,Yes,67,5,88,76.14,region; color-contrast; image-alt; link-name; frame-title
122,unity3d.com,Yes,5,1,11,45.45,region; html-has-lang; landmark-one-main
123,amazon-adsystem.com,Yes,5,2,8,62.5,document-title; html-has-lang; landmark-one-main; page-has-heading-one; region
124,snapchat.com,Yes,4,2,41,9.76,color-contrast; heading-order; select-name
125,app-measurement.com,Yes,5,0,18,27.78,region; landmark-one-main; page-has-heading-one
126,github.io,Yes,31,2,53,58.49,color-contrast; region; link-name; heading-order; landmark-one-main
127,apache.org,Yes,2,0,38,5.26,heading-order; region
128,intuit.com,Yes,2,1,43,4.65,landmark-contentinfo-is-top-level; nested-interactive
129,amazonvideo.com,Yes,5,1,40,12.5,region; color-contrast; landmark-one-main
130,cdn77.org,No,,,,,
131,prodregistryv2.org,Yes,5,2,8,62.5,document-title; html-has-lang; landmark-one-main; page-has-heading-one; region
132,nih.gov,Yes,3,1,48,6.25,link-in-text-block; page-has-heading-one; region
133,msftncsi.com,No,,,,,
134,kaspersky.com,Yes,41,5,85,48.24,aria-allowed-role; color-contrast; list; aria-allowed-attr; button-name
135,dns.google,Yes,5,1,22,22.73,region; color-contrast; landmark-one-main; page-has-heading-one
136,amazon.dev,No,,,,,
137,outlook.com,Yes,3,2,15,20.0,aria-allowed-role; html-has-lang; meta-viewport
138,gravatar.com,Yes,20,2,53,37.74,region; aria-hidden-focus; color-contrast; heading-order; landmark-one-main
139,dropbox.com,Yes,0,0,39,0.0,
141,registrar-servers.com,No,,,,,
142,iiko.it,No,,,,,
143,xiaomi.com,Yes,5,1,11,45.45,region; html-has-lang; landmark-one-main
144,forms.gle,Yes,4,2,10,40.0,document-title; landmark-one-main; meta-viewport; page-has-heading-one
145,reg.ru,Yes,93,7,121,76.86,region; color-contrast; button-name; link-name; listitem
146,archive.org,Yes,4,0,28,14.29,landmark-one-main; landmark-unique; page-has-heading-one; region
147,yccdn.ru,No,,,,,
148,msftconnecttest.com,No,,,,,
149,godaddy.com,Yes,5,1,11,45.45,region; html-has-lang; landmark-one-main
150,steamserver.net,No,,,,,
151,spo-msedge.net,No,,,,,
152,tumblr.com,Yes,11,3,46,23.91,color-contrast; aria-progressbar-name; landmark-contentinfo-is-top-level; landmark-unique; list
153,nytimes.com,Yes,32,3,79,40.51,link-name; image-alt; landmark-unique; aria-hidden-focus
154,vkuserphoto.ru,Yes,4,2,5,80.0,document-title; html-has-lang; landmark-one-main; page-has-heading-one
155,paypal.com,Yes,2,0,48,4.17,region
156,one.one,Yes,13,3,28,46.43,definition-list; html-has-lang; link-name; page-has-heading-one
157,azurefd.net,No,,,,,
158,ax-msedge.net,No,,,,,
159,miit.gov.cn,No,,,,,
160,dnsowl.com,No,,,,,
161,applovin.com,Yes,16,3,38,42.11,link-name; color-contrast; html-has-lang
162,nflxso.net,No,,,,,
163,shopify.com,Yes,4,1,50,8.0,aria-prohibited-attr
164,3gppnetwork.org,No,,,,,
165,aliyuncs.com,Yes,5,1,15,33.33,region; html-has-lang; landmark-one-main
166,discord.com,Yes,18,2,58,31.03,region; link-name; nested-interactive
167,ggpht.com,No,,,,,
168,bytefcdn-oversea.com,No,,,,,
169,webex.com,Yes,5,1,11,45.45,region; html-has-lang; landmark-one-main
170,adobe.io,Yes,7,4,47,14.89,aria-allowed-attr; color-contrast; aria-prohibited-attr; button-name
171,akamaitech.net,No,,,,,
172,macromedia.com,No,,,,,
173,cdn-apple.com,No,,,,,
174,azurewebsites.net,No,,,,,
175,flickr.com,Yes,22,3,64,34.38,color-contrast; link-name; input-button-name; region
176,wac-msedge.net,No,,,,,
177,userapi.com,Yes,7,0,39,17.95,region
178,example.com,Yes,2,0,15,13.33,landmark-one-main; region
179,soundcloud.com,Yes,4,1,19,21.05,landmark-one-main; meta-viewport; page-has-heading-one; region
180,adtrafficquality.google,Yes,5,1,44,11.36,aria-allowed-attr; presentation-role-conflict
181,medium.com,Yes,2,1,17,11.76,meta-refresh; page-has-heading-one
182,w3.org,Yes,0,0,41,0.0,
183,rubiconproject.com,Yes,2,1,17,11.76,meta-refresh; page-has-heading-one
184,taboola.com,Yes,7,1,47,14.89,color-contrast; heading-order
185,cnn.com,Yes,5,1,49,10.2,landmark-unique; link-name; page-has-heading-one
186,aws.dev,No,,,,,
187,theguardian.com,Yes,18,2,67,26.87,aria-allowed-role; landmark-complementary-is-top-level; list; region; image-redundant-alt
188,vungle.com,Yes,2,0,13,15.38,landmark-one-main; page-has-heading-one
189,nominetdns.uk,No,,,,,
190,ttdns2.com,No,,,,,
191,static.microsoft,No,,,,,
192,avast.com,Yes,53,2,89,59.55,region; aria-allowed-attr; heading-order; aria-dialog-name; image-alt
193,fastly-edge.com,No,,,,,
194,oracle.com,Yes,4,1,14,28.57,html-has-lang; landmark-one-main; page-has-heading-one; region
195,msedge.net,No,,,,,
196,creativecommons.org,Yes,0,0,39,0.0,
197,forbes.com,Yes,256,3,294,87.07,region; heading-order; button-name; landmark-one-main; link-in-text-block
198,ebay.com,Yes,16,3,65,24.62,tabindex; link-name; role-img-alt; aria-allowed-role; aria-required-attr
199,ozon.ru,Yes,2,0,9,22.22,landmark-one-main; page-has-heading-one
200,shifen.com,No,,,,,
201,pubmatic.com,Yes,18,4,53,33.96,region; image-alt; color-contrast; frame-title; heading-order
202,dns-parking.com,No,,,,,
203,sfx.ms,No,,,,,
204,jomodns.com,No,,,,,
205,ipv4only.arpa,No,,,,,
206,bbc.com,Yes,2,1,48,4.17,aria-hidden-focus; heading-order
207,tm-azurefd.net,No,,,,,
208,cpanel.net,Yes,8,2,49,16.33,listitem; aria-required-attr
209,weather.com,Yes,5,0,49,10.2,empty-heading; heading-order; landmark-main-is-top-level; landmark-no-duplicate-main; landmark-unique
210,adnxs.com,Yes,4,1,12,33.33,region; html-has-lang; landmark-one-main
211,t.co,Yes,17,3,26,65.38,color-contrast; region; html-has-lang; landmark-one-main; link-in-text-block
212,spov-msedge.net,No,,,,,
213,twitch.tv,Yes,2,1,35,5.71,autocomplete-valid; nested-interactive
214,roku.com,Yes,3,0,48,6.25,image-redundant-alt; landmark-unique
215,sciencedirect.com,Yes,0,0,39,0.0,
216,researchgate.net,Yes,6,2,26,23.08,region; link-name; meta-refresh
217,youtube-nocookie.com,No,,,,,
218,gmail.com,Yes,8,1,40,20.0,region; landmark-one-main; select-name
219,bbc.co.uk,Yes,2,1,48,4.17,aria-hidden-focus; heading-order
220,azureedge.net,No,,,,,
221,pki.goog,Yes,12,1,52,23.08,color-contrast
222,oxylabs.io,Yes,100,4,144,69.44,region; color-contrast; nested-interactive; aria-hidden-focus; heading-order
223,vecdnlb.com,No,,,,,
224,mit.edu,Yes,2,1,44,4.55,aria-allowed-attr; heading-order
225,hichina.com,No,,,,,
226,akamaized.net,No,,,,,
227,sourceforge.net,Yes,4,0,19,21.05,region; landmark-one-main
228,adsafeprotected.com,Yes,5,2,12,41.67,html-has-lang; image-alt; landmark-one-main; page-has-heading-one; region
229,canva.com,Yes,2,0,46,4.35,region
230,ubuntu.com,Yes,16,3,62,25.81,listitem; aria-required-parent; landmark-unique; aria-required-children; landmark-no-duplicate-banner
231,android.com,Yes,7,1,51,13.73,aria-prohibited-attr; region; empty-heading; landmark-unique
232,doi.org,No,,,,,
233,t-online.de,Yes,104,5,152,68.42,color-contrast; landmark-complementary-is-top-level; landmark-unique; link-name; aria-required-children
234,meraki.com,Yes,22,1,66,33.33,color-contrast; tabindex; avoid-inline-spacing
235,scorecardresearch.com,Yes,12,4,31,38.71,region; color-contrast; image-alt; landmark-one-main; link-in-text-block
236,nist.gov,Yes,22,1,64,34.38,region; landmark-one-main; page-has-heading-one; role-img-alt
237,shopifysvc.com,No,,,,,
238,nic.direct,No,,,,,
239,cdngslb.com,No,,,,,
240,miui.com,Yes,84,4,112,75.0,image-alt; color-contrast; heading-order; empty-heading; html-has-lang
241,imdb.com,Yes,3,1,9,33.33,document-title; landmark-one-main; page-has-heading-one
242,doubleverify.com,Yes,2,1,49,4.08,label; page-has-heading-one
243,tiktokcdn-us.com,No,,,,,
244,comcast.net,No,,,,,
245,stripe.com,Yes,2,0,48,4.17,empty-heading; region
246,wsdvs.com,No,,,,,
247,casalemedia.com,Yes,25,2,59,42.37,region; link-name; aria-hidden-focus; landmark-one-main
248,ksyuncdn.com,No,,,,,
249,telegram.org,Yes,60,4,76,78.95,color-contrast; image-alt; region; link-name; empty-heading
250,who.int,Yes,7,0,53,13.21,empty-heading; label-title-only; landmark-unique
251,cisco.com,Yes,21,0,64,32.81,region; tabindex; landmark-one-main; skip-link
252,hubspot.com,Yes,15,1,63,23.81,color-contrast; aria-allowed-role; presentation-role-conflict
253,linktr.ee,Yes,59,2,97,60.82,region; aria-allowed-role; link-name; aria-required-children; heading-order
254,adsrvr.org,Yes,19,3,48,39.58,color-contrast; link-in-text-block; link-name
255,wixsite.com,No,,,,,
256,openai.com,Yes,1,0,45,2.22,page-has-heading-one
257,gwfb.net,No,,,,,
258,playstation.net,No,,,,,
259,dropcatch.com,Yes,1,0,38,2.63,landmark-one-main
260,libp2p.direct,No,,,,,
261,forter.com,Yes,2,1,49,4.08,aria-allowed-role; select-name
262,booking.com,Yes,3,1,9,33.33,document-title; landmark-one-main; page-has-heading-one
263,alibabadns.com,No,,,,,
264,omtrdc.net,No,,,,,
265,lencr.org,Yes,6,1,50,12.0,link-name; heading-order; region
266,launchpad.net,Yes,14,1,38,36.84,region; heading-order; landmark-one-main; link-in-text-block; page-has-heading-one
267,telekom.net,Yes,1,1,46,2.17,svg-img-alt
268,wikimedia.org,Yes,10,1,24,41.67,region; image-alt; landmark-one-main; page-has-heading-one
269,mts.ru,Yes,105,5,137,76.64,region; image-alt; color-contrast; image-redundant-alt; button-name
270,hp.com,No,,,,,
271,mangosip.ru,No,,,,,
272,springer.com,Yes,1,0,47,2.13,landmark-complementary-is-top-level
273,ttvnw.net,No,,,,,
274,salesforce.com,Yes,5,1,11,45.45,region; html-has-lang; landmark-one-main
275,mzstatic.com,Yes,7,2,53,13.21,aria-allowed-role; aria-required-children; color-contrast; region
276,heytapmobile.com,No,,,,,
277,autodesk.com,Yes,5,1,11,45.45,region; html-has-lang; landmark-one-main
278,inmobi.com,Yes,9,3,42,21.43,color-contrast; link-name; region; heading-order; meta-viewport
279,tinyurl.com,Yes,8,1,52,15.38,heading-order; region; list
280,ampproject.org,Yes,7,2,46,15.22,heading-order; link-name; select-name
281,facebook.net,No,,,,,
282,samsungcloud.com,Yes,4,2,9,44.44,html-has-lang; landmark-one-main; meta-viewport; page-has-heading-one
283,smartadserver.com,No,,,,,
284,jsdelivr.net,No,,,,,
285,reuters.com,Yes,2,0,12,16.67,landmark-one-main; page-has-heading-one
286,mozilla.com,Yes,0,0,37,0.0,
287,openx.net,Yes,5,2,8,62.5,document-title; html-has-lang; landmark-one-main; page-has-heading-one; region
288,triplinkintl.com,Yes,40,2,70,57.14,color-contrast; region; aria-command-name; landmark-one-main
289,etsy.com,Yes,2,0,12,16.67,landmark-one-main; page-has-heading-one
290,ibm.com,Yes,81,6,119,68.07,region; svg-img-alt; aria-required-parent; heading-order; aria-command-name
291,shalltry.com,Yes,8,2,10,80.0,region; document-title; html-has-lang; landmark-one-main; page-has-heading-one
292,duckdns.org,Yes,5,2,36,13.89,color-contrast; html-has-lang
293,drom.ru,No,,,,,
294,www.gov.uk,Yes,2,0,50,4.0,region
295,wiley.com,Yes,4,0,19,21.05,region; landmark-one-main
296,alibaba.com,Yes,8,2,46,17.39,region; aria-roles; color-contrast; landmark-one-main; page-has-heading-one
297,ok.ru,Yes,6,3,45,13.33,region; color-contrast; meta-viewport; nested-interactive
298,amplitude.com,Yes,28,3,69,40.58,nested-interactive; button-name; heading-order; landmark-unique; link-name
299,dnsmadeeasy.com,Yes,76,2,115,66.09,region; color-contrast; link-name; landmark-one-main; landmark-unique
300,appsflyer.com,No,,,,,
301,nature.com,Yes,4,0,50,8.0,region
302,harvard.edu,Yes,0,0,42,0.0,
303,samsungqbe.com,No,,,,,
304,googleblog.com,Yes,1,0,51,1.96,page-has-heading-one
305,3lift.com,Yes,15,1,57,26.32,region; select-name; landmark-one-main
306,media.net,Yes,5,1,40,12.5,link-name; heading-order
307,steampowered.com,Yes,10,2,46,21.74,color-contrast; aria-required-children; page-has-heading-one
308,pages.dev,Yes,1,1,46,2.17,link-name
309,byteoversea.net,No,,,,,
310,mtgglobals.com,No,,,,,
311,debian.org,Yes,28,3,56,50.0,region; aria-hidden-focus; label; landmark-one-main; select-name
312,php.net,Yes,5,1,42,11.9,region; landmark-one-main; link-name; page-has-heading-one
313,media-amazon.com,No,,,,,
314,nr-data.net,No,,,,,
315,amazon.co.uk,Yes,3,1,9,33.33,document-title; landmark-one-main; page-has-heading-one
316,launchdarkly.com,Yes,16,2,60,26.67,color-contrast; image-redundant-alt; landmark-complementary-is-top-level; region; heading-order
317,alidns.com,Yes,78,7,113,69.03,region; button-name; listitem; role-img-alt; link-name
318,trueconf.net,No,,,,,
319,name-services.com,No,,,,,
320,akamaihd.net,No,,,,,
321,clarity.ms,No,,,,,
322,telecid.ru,No,,,,,
323,aol.com,Yes,26,4,73,35.62,aria-prohibited-attr; nested-interactive; region; tabindex; aria-required-children
324,vk.ru,Yes,7,0,39,17.95,region
325,myshopify.com,Yes,5,0,22,22.73,region; landmark-one-main
326,weibo.com,Yes,3,1,7,42.86,html-has-lang; landmark-one-main; page-has-heading-one
327,slack.com,Yes,8,0,48,16.67,presentation-role-conflict; landmark-unique; region; skip-link
328,ea.com,No,,,,,
329,afternic.com,Yes,6,2,49,12.24,aria-allowed-role; aria-hidden-focus; color-contrast
330,issuu.com,Yes,5,0,41,12.2,region; landmark-one-main; skip-link
331,douyincdn.com,No,,,,,
332,gnu.org,Yes,4,2,6,66.67,document-title; html-has-lang; landmark-one-main; page-has-heading-one
333,wbx2.com,No,,,,,
334,crashlytics.com,No,,,,,
335,checkpoint.com,Yes,5,1,13,38.46,region; html-has-lang; landmark-one-main
336,weebly.com,Yes,39,3,72,54.17,region; color-contrast; link-name; heading-order; image-alt
337,inner-active.mobi,No,,,,,
338,onelink.me,No,,,,,
339,cdc.gov,Yes,16,0,53,30.19,region; landmark-unique; tabindex; landmark-contentinfo-is-top-level; landmark-no-duplicate-banner
340,un.org,Yes,3,1,10,30.0,html-has-lang; landmark-one-main; region
341,wildberries.ru,Yes,5,2,11,45.45,html-has-lang; landmark-one-main; meta-refresh; page-has-heading-one; region
342,mi.com,Yes,5,1,11,45.45,region; html-has-lang; landmark-one-main
343,tradingview.com,Yes,20,4,61,32.79,button-name; aria-allowed-role; region; color-contrast; image-alt
344,vkuser.net,No,,,,,
345,opendns.com,Yes,11,1,44,25.0,region; listitem; landmark-one-main
346,trustpilot.com,Yes,2,0,14,14.29,landmark-one-main; region
347,allawnos.com,No,,,,,
348,byteglb.com,No,,,,,
349,naver.com,Yes,10,1,47,21.28,region; button-name; empty-heading; label-title-only
350,ivi.ru,Yes,168,4,192,87.5,region; image-alt; color-contrast; link-name; landmark-one-main
351,wsj.com,Yes,2,0,12,16.67,landmark-one-main; page-has-heading-one
352,cdnbuild.net,No,,,,,
353,tbcache.com,No,,,,,
354,kaspersky-labs.com,No,,,,,
355,ezvizlife.com,No,,,,,
356,washingtonpost.com,No,,,,,
357,aliyun.com,Yes,341,5,375,90.93,region; color-contrast; image-alt; link-name; button-name
358,demdex.net,No,,,,,
359,bilibili.com,Yes,76,5,102,74.51,region; color-contrast; listitem; button-name; label
360,dell.com,Yes,5,1,11,45.45,region; html-has-lang; landmark-one-main
361,rocket-cdn.com,No,,,,,
362,cnbc.com,Yes,52,3,103,50.49,link-name; aria-required-parent; aria-valid-attr-value; heading-order; landmark-banner-is-top-level
363,selectel.ru,Yes,44,5,80,55.0,color-contrast; image-alt; heading-order; region; button-name
364,samsungcloudsolution.com,No,,,,,
365,google.cn,Yes,3,0,17,17.65,region; landmark-one-main
366,capcutapi.com,No,,,,,
367,dailymail.co.uk,Yes,5,1,11,45.45,region; html-has-lang; landmark-one-main
368,stanford.edu,Yes,3,0,45,6.67,aria-allowed-role
369,dailymotion.com,Yes,4,2,44,9.09,heading-order; image-alt; list
370,kwai-pro.com,No,,,,,
371,bloomberg.com,Yes,3,0,20,15.0,region; landmark-one-main
372,nvidia.com,No,,,,,
373,rzone.de,No,,,,,
374,nasa.gov,No,,,,,
375,plesk.com,No,,,,,
376,namebrightdns.com,No,,,,,
377,temu.com,Yes,4,2,5,80.0,document-title; html-has-lang; landmark-one-main; page-has-heading-one
378,tiktokv.us,No,,,,,
379,tp-link.com,Yes,1,1,31,3.23,link-name
380,yahoo.co.jp,Yes,25,3,51,49.02,color-contrast; html-has-lang; landmark-contentinfo-is-top-level; meta-viewport; page-has-heading-one
381,hcaptcha.com,No,,,,,
382,heytapdl.com,No,,,,,
383,quickconnect.to,Yes,14,3,32,43.75,region; color-contrast; image-alt; html-has-lang
384,vivoglobal.com,Yes,7,2,24,29.17,link-name; image-alt; landmark-one-main; page-has-heading-one
385,yandex.com,Yes,2,1,37,5.41,aria-required-attr; page-has-heading-one
386,unsplash.com,Yes,0,0,23,0.0,
387,virginm.net,No,,,,,
388,ibyteimg.com,No,,,,,
389,avsxappcaptiveportal.com,No,,,,,
390,indeed.com,Yes,0,0,29,0.0,
391,calendly.com,Yes,8,1,44,18.18,heading-order; aria-prohibited-attr; landmark-banner-is-top-level; landmark-contentinfo-is-top-level; page-has-heading-one
392,amazon.de,Yes,3,1,9,33.33,document-title; landmark-one-main; page-has-heading-one
393,globo.com,Yes,510,4,553,92.22,color-contrast; region; image-alt; image-redundant-alt; aria-allowed-role
394,edgecdn.ru,No,,,,,
395,moe.video,Yes,21,3,52,40.38,color-contrast; link-name; meta-viewport; region
396,arubanetworks.com,No,,,,,
397,enacdn.net,No,,,,,
398,kwaipros.com,No,,,,,
399,xcal.tv,No,,,,,
400,imcmdb.net,No,,,,,
401,duckduckgo.com,No,,,,,
402,adriver.ru,Yes,12,3,44,27.27,image-alt; link-name; region; aria-allowed-attr; landmark-one-main
403,cookiedatabase.org,No,,,,,
404,aliyuncsslbintl.com,No,,,,,
405,adobe.net,No,,,,,
406,gitlab.com,No,,,,,
407,zendesk.com,No,,,,,
408,tiktokcdn-eu.com,No,,,,,
409,tiktokv.eu,No,,,,,
410,cloudns.net,Yes,64,4,93,68.82,region; color-contrast; link-name; button-name; landmark-complementary-is-top-level
411,live-video.net,No,,,,,
412,espn.com,Yes,210,7,248,84.68,region; image-alt; color-contrast; link-name; button-name
413,supercell.com,Yes,25,1,67,37.31,color-contrast; heading-order
414,businessinsider.com,Yes,90,2,140,64.29,region; aria-hidden-focus; empty-heading; landmark-complementary-is-top-level; landmark-unique
415,telegram.me,Yes,60,4,75,80.0,color-contrast; image-alt; region; link-name; empty-heading
416,pixabay.com,Yes,2,1,17,11.76,meta-refresh; page-has-heading-one
417,ip-api.com,Yes,19,1,50,38.0,color-contrast; heading-order; landmark-unique
418,dual-s-msedge.net,No,,,,,
419,avcdn.net,No,,,,,
420,amazonalexa.com,Yes,58,6,108,53.7,region; aria-required-attr; nested-interactive; aria-allowed-role; heading-order
421,pangle.io,No,,,,,
422,sc-gw.com,No,,,,,
423,ngenix.net,No,,,,,
424,163.com,Yes,137,8,161,85.09,region; image-redundant-alt; color-contrast; link-name; frame-title
425,online-metrix.net,No,,,,,
426,line.me,No,,,,,
427,browser-intake-datadoghq.com,Yes,5,2,8,62.5,document-title; html-has-lang; landmark-one-main; page-has-heading-one; region
428,steamcommunity.com,Yes,15,4,49,30.61,image-alt; link-name; color-contrast; label; page-has-heading-one
429,brave.com,Yes,10,3,55,18.18,aria-allowed-attr; heading-order; button-name; label
430,amazontrust.com,Yes,0,0,30,0.0,
431,huawei.com,Yes,29,3,61,47.54,region; link-name; color-contrast; heading-order; label
432,intel.com,No,,,,,
433,taobao.com,Yes,62,6,105,59.05,color-contrast; region; image-alt; aria-hidden-focus; link-name
434,go.com,No,,,,,
